node_id,region_key,city_name,department,node_type,status,capacity_gbps,utilization_pct,households_passed,active_subscribers,penetration_pct,latency_ms,uptime_pct,olt_count,ont_deployed,fiber_km,technology,last_maintenance,next_maintenance,noc_region
36,406,Cajamarca Centro,Cajamarca,Regional Hub,Operational,35,42,15000,4800,32.0,9.5,99.78,4,4800,180,GPON,2026-01-13,2026-03-13,Lima
37,406,Banos del Inca,Cajamarca,Distribution Node,Operational,12,38,3000,700,23.3,10.0,99.72,1,700,35,GPON,2026-02-17,2026-04-17,Lima
38,407,Huancayo Centro,Junin,Regional Hub,Operational,40,48,15000,4500,30.0,7.8,99.80,4,4500,220,XGS-PON,2026-01-11,2026-03-11,Lima
39,407,El Tambo,Junin,Distribution Node,Operational,15,52,3000,1000,33.3,8.2,99.76,1,1000,55,GPON,2026-02-18,2026-04-18,Lima
41,408,Chimbote Centro,Ancash,Regional Hub,Operational,30,40,12000,3800,31.7,7.5,99.82,3,3800,160,GPON,2026-02-01,2026-04-01,Lima
42,408,Nuevo Chimbote,Ancash,Distribution Node,Operational,15,45,3000,700,23.3,7.8,99.78,1,700,45,GPON,2026-02-19,2026-04-19,Lima
43,409,Ica Centro,Ica,Regional Hub,Operational,35,48,20000,6500,32.5,5.8,99.88,5,6500,180,XGS-PON,2026-01-10,2026-03-10,Lima
44,409,Subtanjalla,Ica,Distribution Node,Operational,12,42,5000,1500,30.0,6.2,99.84,1,1500,45,GPON,2026-02-20,2026-04-20,Lima
46,410,Callao Centro,Callao,Regional Hub,Operational,50,52,28000,9500,33.9,3.2,99.92,6,9500,220,XGS-PON,2026-01-09,2026-03-09,Lima
47,410,Bellavista,Callao,Distribution Node,Operational,20,48,7000,2500,35.7,3.5,99.90,2,2500,55,GPON,2026-02-21,2026-04-21,Lima
49,411,Iquitos Centro,Loreto,Regional Hub,Operational,25,55,10000,2800,28.0,15.5,99.65,3,2800,120,GPON,2026-01-08,2026-03-08,Lima
50,411,Punchana,Loreto,Distribution Node,Operational,10,48,2000,700,35.0,16.2,99.58,1,700,35,GPON,2026-02-22,2026-04-22,Lima
